ID,Question,Keyword_Recall_Score,Semantic_Similarity_Score,Mixed_Score
TEST_004,트로이 목마(Trojan) 기반 원격제어 악성코드(RAT)의 특징과 주요 탐지 지표를 설명하세요.,0.0,0.7780986159770398,0.46685916958622387
TEST_007,전자금융거래법에 따라 이용자가 금융 분쟁조정을 신청할 수 있는 기관을 기술하세요.,0.2857142857142857,0.8184430141788744,0.6053515227930389
TEST_082,딥페이크 기술 악용에 대비한 금융권의 대응 방안을 기술하세요.,0.0,0.7589275320896298,0.45535651925377785
TEST_101,디지털 지갑(Digital Wallet)에서 우려되는 주요 보안 위협을 설명하세요.,0.07692307692307693,0.6512194116370088,0.421500877751436
TEST_102,"개인정보 접근 권한 검토는 어떻게 수행해야 하며, 그 목적은 무엇인가요?",0.1111111111111111,0.7687482706326999,0.5056934068240644
TEST_126,정보보호의 3대 요소에 해당하는 보안 목표를 3가지 기술하세요.,0.3,0.8789178329655158,0.6473506997793095
TEST_131,"금융회사가 정보보호 예산을 관리할 때, 전자금융감독규정상 정보기술부문 인력 및 예산의 기준 비율은 얼마인가요?",0.3333333333333333,0.646896345248448,0.5214711404824021
TEST_182,SMTP 프로토콜의 보안상 주요 역할을 설명하세요.,0.3,0.907102557830905,0.664261534698543
TEST_199,ID/PW 기반 인증 환경에서 발생할 수 있는 대표적인 공격 유형을 2가지 이상 서술하고 대응 방안을 설명하세요.,0.0,0.7494797412774101,0.4496878447664461
TEST_205,전자자금이체의 지급 효력 발생 시점을 전자금융거래법 기준에 따라 설명하세요.,0.2857142857142857,0.6769089688289485,0.5204310955830833
TEST_245,DNSSEC의 주요 기능과 이를 통해 해결할 수 있는 보안 위협을 설명하세요.,0.14285714285714285,0.898941343896616,0.5965076634808267
TEST_416,VLAN(Virtual LAN)의 주요 기능을 설명하세요.,0.125,0.806250858254876,0.5337505149529256
TEST_458,"개인신용평점 하락 가능성과 관련해 설명의무가 발생하는 경우, 금융기관이 설명해야 할 주요 내용은 무엇인가요?",0.125,0.673049309291654,0.45382958557499237
TEST_471,인증 및 권한관리 측면에서 특수 계정에 대한 보안조치 방안은 무엇인가요?,0.09090909090909091,0.7516292743112718,0.48734120095039946
TEST_507,전자금융데이터 보안에서 암호화 방식을 선택할 때 고려해야 할 주요 기준은 무엇인가요?,0.2,0.7541724265498351,0.5325034559299011
