ID,Question,정답
TEST_114,"정보보호 관리체계 인증의 유효기간은 몇 년인가?
1 3년
2 5년
3 1년
4 2년",3
TEST_025,"기업신용조회회사가 기업 및 법인의 신용상태를 평가할 때 고려해야 할 사항으로 옳은 것은?
1 평가에 관련된 모든 정보를 무시한다.
2 평가에 혜택을 줄 수 있는 정보만 고려한다.
3 평가에 불이익과 혜택을 줄 수 있는 정보를 모두 고려한다.
4 평가에 불이익이 발생할 수 있는 정보만 고려한다.
5 평가에 사용되는 정보는 금융보안법에서 정한 표준 등급 정보만 활용한다.",3
TEST_281,"다음 중 단말 운영체제에 해당하지 않는 것은 무엇인가?
1 Linux
2 SQL Server
3 Windows
4 Oracle Database
5 Android",2
TEST_250,"본인확인기관이 본인확인업무를 휴지하고자 할 때, 이용자에게 통보해야 하는 최소 기간은 며칠인가?
1 60일
2 15일
3 90일
4 45일
5 30일",5
TEST_228,"신용정보제공ㆍ이용자가 다른 신용정보제공ㆍ이용자와 신용정보를 제공할 때 포함해야 하는 것은?
1 신용정보의 무단 파괴
2 신용정보의 무단 변경
3 신용정보의 비인가 외부 전송
4 신용정보의 무단 접근 허용
5 신용정보 보안관리 대책",5
TEST_142,"전자서명인증사업자가 전자문서의 시점을 확인할 때 필요한 조건은?
1 전자문서의 내용 확인
2 전자문서의 발송자 확인
3 가입자 또는 이용자의 요청
4 전자문서의 수신자 확인",3
TEST_104,"다음 중 '네트워크 공격'에 대한 설명으로 가장 적절하지 않은 것은?
1 네트워크 공격은 항상 물리적 접근을 필요로 한다.
2 네트워크 공격은 오직 내부 직원에 의해서만 발생할 수 있다.
3 해킹을 통해 금융 정보에 접근할 수 있다.
4 악성코드를 통해 PC에 침투할 수 있다.
5 디도스 공격을 통해 시스템을 마비시킬 수 있다.",1
TEST_089,"FTP 서비스에서 보안을 강화하기 위한 방법으로 적절하지 않은 것은?
1 FTP 포트(21번)를 항상 외부에 개방하여 접근성을 높인다.
2 FTPS를 사용하여 데이터 전송을 암호화한다.
3 FTP 업로드 기능을 막아 웹셸 공격을 방지한다.
4 익명 사용자에 대한 FTP 서비스 권한을 허용한다.
5 특정 IP에서만 FTP 접근을 허용한다.",1
TEST_432,"""관리체계 수립 및 운영""의 영역에서 ""관리체계 기반 마련""에 포함되지 않는 항목은 무엇인가?
1 내부통제 절차 수립
2 위험 평가
3 범위 설정
4 경영진의 참여
5 최고책임자의 지정",1
TEST_032,"다음 중 개인정보보호법 제7조의11에 따라 위원이 심의ㆍ의결에서 회피할 수 있는 경우는?
1 위원이 해당 사안에 관하여 증언을 한 경우
2 위원이 해당 사안의 당사자와 이해관계가 없는 경우
3 위원이 해당 사안에 관하여 법률자문을 하지 않은 경우
4 위원이 해당 사안의 당사자와 친족이 아닌 경우",1
TEST_030,"전자서명법 제25조 양벌규정에 따르면, 법인의 대표자나 법인 또는 개인의 대리인, 사용인, 그 밖의 종업원이 법인의 업무에 관하여 위반행위를 한 경우, 법인 또는 개인에게도 벌금형을 과할 수 있는 조건은 무엇인가?
1 법인 또는 개인이 위반행위를 방지하기 위한 주의와 감독을 철저히 한 경우
2 법인 또는 개인이 위반행위를 방지하기 위한 주의와 감독을 일부만 한 경우
3 법인 또는 개인이 위반행위를 방지하기 위한 주의와 감독을 게을리한 경우
4 법인 또는 개인이 위반행위를 방지하기 위한 주의와 감독을 전혀 하지 않은 경우",3
TEST_095,"딥페이크 기술의 악용을 방지하기 위한 금융권의 선제적 대응 방안으로 가장 적절한 것은?
1 딥페이크 탐지 기능이 없는 구식 인증 시스템 도입
2 딥보이스 탐지 기술 개발
3 금융기관의 음성 복제
4 딥페이크 영상 제작 지원
5 금융소비자 홍보 강화",2
TEST_223,"정보보호 관리등급 부여에 관한 설명으로 옳은 것은?
1 정보보호 관리등급은 정보보호 관리체계 인증을 받은 자만 받을 수 있다.
2 정보보호 관리등급은 2년마다 갱신해야 한다.
3 정보보호 관리등급은 홍보에 활용할 수 없다.
4 정보보호 관리등급은 과학기술정보통신부장관이 직접 부여한다.",1
